伴奏,ばんそう,suru,ばんそう
伴走,ばんそう,suru,ばんそう
伸ばす,のばす,godan,のば
伸び,のび,suru,のび
伸びる,のびる,ichidan,の
伸べる,のべる,ichidan,のべ
伸縮,しんしゅく,suru,しんしゅく
伸長,しんちょう,suru,しんちょう
伺う,うかがう,godan,うかが
似せる,にせる,ichidan,に
似る,にる,ichidan,に
似合う,にあう,godan,にあ
似通う,にかよう,godan,にかよ
佇む,たたずむ,godan,たたず
位置,いち,suru,いち
位置付ける,いちづける,ichidan,いちづ
低める,ひくめる,ichidan,ひく
低下,ていか,suru,ていか
低減,ていげん,suru,ていげん
低落,ていらく,suru,ていらく
低迷,ていめい,suru,ていめい
住まう,すまう,godan,すま
住む,すむ,godan,す
住居,じゅうきょ,suru,じゅうきょ
体当たり,たいあたり,suru,たいあたり
体得,たいとく,suru,たいとく
体操,たいそう,suru,たいそう
体現,たいげん,suru,たいげん
体験,たいけん,suru,たいけん
何とか,なんとか,suru,なんとか
余す,あます,godan,あま
余る,あまる,godan,あま
作る,つくる,godan,つく
作付け,さくづけ,suru,さくづけ
作動,さどう,suru,さどう
作成,さくせい,suru,さくせい
作文,さくぶん,suru,さくぶん
作曲,さっきょく,suru,さっきょく
作業,さぎょう,suru,さぎょう
作歌,さっか,suru,さっか
作為,さくい,suru,さくい
作用,さよう,suru,さよう
作画,さくが,suru,さくが
作製,さくせい,suru,さくせい
作詞,さくし,suru,さくし
作詩,さくし,suru,さくし
併合,へいごう,suru,へいごう
併存,へいぞん,suru,へいぞん
併殺,へいさつ,suru,へいさつ
併用,へいよう,suru,へいよう
併発,へいはつ,suru,へいはつ
併記,へいき,suru,へいき
併設,へいせつ,suru,へいせつ
使いこなす,つかいこなす,godan,つかいこな
使う,つかう,godan,つか
使用,しよう,suru,しよう
例える,たとえる,ichidan,たと
例示,れいじ,suru,れいじ
例証,れいしょう,suru,れいしょう
供える,そなえる,ichidan,そな
供与,きょうよ,suru,きょうよ
供出,きょうしゅつ,suru,きょうしゅつ
供給,きょうきゅう,suru,きょうきゅう
供託,きょうたく,suru,きょうたく
供述,きょうじゅつ,suru,きょうじゅつ
供養,くよう,suru,くよう
依る,よる,godan,よ
依存,いぞん,suru,いぞん
依拠,いきょ,suru,いきょ
依頼,いらい,suru,いらい
侮る,あなどる,godan,あなど
侮蔑,ぶべつ,suru,ぶべつ
侮辱,ぶじょく,suru,ぶじょく
侵す,おかす,godan,おか
侵入,しんにゅう,suru,しんにゅう
侵害,しんがい,suru,しんがい
侵攻,しんこう,suru,しんこう
侵犯,しんぱん,suru,しんぱん
侵略,しんりゃく,suru,しんりゃく
侵食,しんしょく,suru,しんしょく
便乗,びんじょう,suru,びんじょう
便秘,べんぴ,suru,べんぴ
係争,けいそう,suru,けいそう
係留,けいりゅう,suru,けいりゅう
促す,うながす,godan,うなが
促成,そくせい,suru,そくせい
促進,そくしん,suru,そくしん
保する,ほする,suru,ほする
保つ,たもつ,godan,たも
保全,ほぜん,suru,ほぜん
保存,ほぞん,suru,ほぞん
保守,ほしゅ,suru,ほしゅ
保持,ほじ,suru,ほじ
保有,ほゆう,suru,ほゆう
保温,ほおん,suru,ほおん
保留,ほりゅう,suru,ほりゅう
保管,ほかん,suru,ほかん
保育,ほいく,suru,ほいく
保証,ほしょう,suru,ほしょう
保護,ほご,suru,ほご
保釈,ほしゃく,suru,ほしゃく
保養,ほよう,suru,ほよう
信じる,しんじる,suru,しんじる
信ずる,しんずる,ichidan,しん
信仰,しんこう,suru,しんこう
信任,しんにん,suru,しんにん
信号,しんごう,suru,しんごう
信奉,しんぽう,suru,しんぽう
信心,しんじん,suru,しんじん
信用,しんよう,suru,しんよう
信託,しんたく,suru,しんたく
信頼,しんらい,suru,しんらい
修める,おさめる,ichidan,おさ
修了,しゅうりょう,suru,しゅうりょう
修好,しゅうこう,suru,しゅうこう
修学,しゅうがく,suru,しゅうがく
修復,しゅうふく,suru,しゅうふく
修整,しゅうせい,suru,しゅうせい
修業,しゅうぎょう,suru,しゅうぎょう
修正,しゅうせい,suru,しゅうせい
修理,しゅうり,suru,しゅうり
修練,しゅうれん,suru,しゅうれん
修繕,しゅうぜん,suru,しゅうぜん
修行,しゅぎょう,suru,しゅぎょう
修道,しゅうどう,suru,しゅうどう
修養,しゅうよう,suru,しゅうよう
俯く,うつむく,godan,うつむ
倍加,ばいか,suru,ばいか
倍増,ばいぞう,suru,ばいぞう
倒す,たおす,godan,たお
倒れる,たおれる,ichidan,たお
倒壊,とうかい,suru,とうかい
倒産,とうさん,suru,とうさん
倒置,とうち,suru,とうち
倒閣,とうかく,suru,とうかく
借り,かり,suru,かり
借りる,かりる,ichidan,か
借地,しゃくち,suru,しゃくち
借用,しゃくよう,suru,しゃくよう
借金,しゃっきん,suru,しゃっきん
倣う,ならう,godan,なら
値する,あたいする,ichidan,あたい
値上がり,ねあがり,suru,ねあがり
値上げ,ねあげ,suru,ねあげ
値下がり,ねさがり,suru,ねさがり
値下げ,ねさげ,suru,ねさげ
値切る,ねぎる,godan,ねぎ
値崩れ,ねくずれ,suru,ねくずれ
値引き,ねびき,suru,ねびき
倦怠,けんたい,suru,けんたい
倹約,けんやく,suru,けんやく
偏る,かたよる,godan,かたよ
偏向,へんこう,suru,へんこう
偏重,へんちょう,suru,へんちょう
偏食,へんしょく,suru,へんしょく
停戦,ていせん,suru,ていせん
停止,ていし,suru,ていし
停泊,ていはく,suru,ていはく
停滞,ていたい,suru,ていたい
停職,ていしょく,suru,ていしょく
停船,ていせん,suru,ていせん
停車,ていしゃ,suru,ていしゃ
停電,ていでん,suru,ていでん
健闘,けんとう,suru,けんとう
偲ぶ,しのぶ,godan,しの
偵察,ていさつ,suru,ていさつ
偶発,ぐうはつ,suru,ぐうはつ
偽る,いつわる,godan,いつわ
偽装,ぎそう,suru,ぎそう
偽証,ぎしょう,suru,ぎしょう
偽造,ぎぞう,suru,ぎぞう
傍受,ぼうじゅ,suru,ぼうじゅ
傍聴,ぼうちょう,suru,ぼうちょう
傍観,ぼうかん,suru,ぼうかん
傑出,けっしゅつ,suru,けっしゅつ
備える,そなえる,ichidan,そな
備わる,そなわる,godan,そなわ
備蓄,びちく,suru,びちく
催す,もよおす,godan,もよお
催促,さいそく,suru,さいそく
傷つく,きずつく,godan,きずつ
傷つける,きずつける,ichidan,きず
傷害,しょうがい,suru,しょうがい
傷心,しょうしん,suru,しょうしん
傾く,かたむく,godan,かたむ
傾ける,かたむける,ichidan,かたむ
傾げる,かしげる,ichidan,かし
傾倒,けいとう,suru,けいとう
傾斜,けいしゃ,suru,けいしゃ
傾注,けいちゅう,suru,けいちゅう
傾聴,けいちょう,suru,けいちょう
働かす,はたらかす,godan,はたらか
働きかける,はたらきかける,ichidan,はたらきか
働く,はたらく,godan,はたら
僻む,ひがむ,godan,ひが
償う,つぐなう,godan,つぐな
償還,しょうかん,suru,しょうかん
優れる,すぐれる,ichidan,すぐ
優先,ゆうせん,suru,ゆうせん
優勝,ゆうしょう,suru,ゆうしょう
優待,ゆうたい,suru,ゆうたい
優越,ゆうえつ,suru,ゆうえつ
優遇,ゆうぐう,suru,ゆうぐう
儲かる,もうかる,godan,もうか
儲ける,もうける,ichidan,もう
充てる,あてる,ichidan,あ
充填,じゅうてん,suru,じゅうてん
充実,じゅうじつ,suru,じゅうじつ
充当,じゅうとう,suru,じゅうとう
充満,じゅうまん,suru,じゅうまん
充血,じゅうけつ,suru,じゅうけつ
充足,じゅうそく,suru,じゅうそく
先んじる,さきんじる,ichidan,さきん
先制,せんせい,suru,せんせい
先勝,せんしょう,suru,せんしょう
先取,せんしゅ,suru,せんしゅ
先取り,さきどり,suru,さきどり
先回り,さきまわり,suru,さきまわり
先導,せんどう,suru,せんどう
先払い,さきばらい,suru,さきばらい
先攻,せんこう,suru,せんこう
先決,せんけつ,suru,せんけつ
先発,せんぱつ,suru,せんぱつ
先着,せんちゃく,suru,せんちゃく
先立つ,さきだつ,godan,さきだ
先細り,さきぼそり,suru,さきぼそり
先行,せんこう,suru,せんこう
先見,せんけん,suru,せんけん
先議,せんぎ,suru,せんぎ
先走る,さきばしる,godan,さきばし
先送り,さきおくり,suru,さきおくり
先遣,せんけん,suru,せんけん
先駆,せんく,suru,せんく
先駆け,さきがけ,suru,さきがけ
先駆ける,さきがける,ichidan,さきが
光る,ひかる,godan,ひか
克己,こっき,suru,こっき
克服,こくふく,suru,こくふく
免税,めんぜい,suru,めんぜい
免職,めんしょく,suru,めんしょく
免許,めんきょ,suru,めんきょ
免責,めんせき,suru,めんせき
免除,めんじょ,suru,めんじょ
兎角,とかく,suru,とかく
入る,いる,godan,い
入る,はいる,godan,はい
入れ,いれ,suru,い
入れる,いれる,ichidan,い
入会,にゅうかい,suru,にゅうかい
入信,にゅうしん,suru,にゅうしん
入党,にゅうとう,suru,にゅうとう
入力,にゅうりょく,suru,にゅうりょく
入団,にゅうだん,suru,にゅうだん
入国,にゅうこく,suru,にゅうこく
入園,にゅうえん,suru,にゅうえん
入場,にゅうじょう,suru,にゅうじょう
入学,にゅうがく,suru,にゅうがく
入室,にゅうしつ,suru,にゅうしつ
入居,にゅうきょ,suru,にゅうきょ
入幕,にゅうまく,suru,にゅうまく
入所,にゅうしょ,suru,にゅうしょ
入手,にゅうしゅ,suru,にゅうしゅ
入札,にゅうさつ,suru,にゅうさつ
入来,にゅうらい,suru,にゅうらい
入校,にゅうこう,suru,にゅうこう
入植,にゅうしょく,suru,にゅうしょく
入浴,にゅうよく,suru,にゅうよく
入港,にゅうこう,suru,にゅうこう
入社,にゅうしゃ,suru,にゅうしゃ
入籍,にゅうせき,suru,にゅうせき
入荷,にゅうか,suru,にゅうか
入賞,にゅうしょう,suru,にゅうしょう
入選,にゅうせん,suru,にゅうせん
入部,にゅうぶ,suru,にゅうぶ
入金,にゅうきん,suru,にゅうきん
入門,にゅうもん,suru,にゅうもん
入閣,にゅうかく,suru,にゅうかく
入院,にゅういん,suru,にゅういん
入隊,にゅうたい,suru,にゅうたい
全う,まっと,suru,まっと
全壊,ぜんかい,suru,ぜんかい
全廃,ぜんぱい,suru,ぜんぱい
全快,ぜんかい,suru,ぜんかい
全敗,ぜんぱい,suru,ぜんぱい
全治,ぜんち,suru,ぜんち
全滅,ぜんめつ,suru,ぜんめつ
全焼,ぜんしょう,suru,ぜんしょう
全訳,ぜんやく,suru,ぜんやく
全開,ぜんかい,suru,ぜんかい
公募,こうぼ,suru,こうぼ
公告,こうこく,suru,こうこく
公定,こうてい,suru,こうてい
公布,こうふ,suru,こうふ
公演,こうえん,suru,こうえん
公示,こうじ,suru,こうじ
公称,こうしょう,suru,こうしょう
公約,こうやく,suru,こうやく
公表,こうひょう,suru,こうひょう
公言,こうげん,suru,こうげん
公訴,こうそ,suru,こうそ
公認,こうにん,suru,こうにん
公述,こうじゅつ,suru,こうじゅつ
公選,こうせん,suru,こうせん
公開,こうかい,suru,こうかい
共倒れ,ともだおれ,suru,ともだおれ
共催,きょうさい,suru,きょうさい
共働き,ともばたらき,suru,ともばたらき
共同,きょうどう,suru,きょうどう
共和,きょうわ,suru,きょうわ
共存,きょうぞん,suru,きょうぞん
共学,きょうがく,suru,きょうがく
共感,きょうかん,suru,きょうかん
共有,きょうゆう,suru,きょうゆう
共栄,きょうえい,suru,きょうえい
共演,きょうえん,suru,きょうえん
共生,きょうせい,suru,きょうせい
共用,きょうよう,suru,きょうよう
共稼ぎ,ともかせぎ,suru,ともかせぎ
共立,きょうりつ,suru,きょうりつ
共謀,きょうぼう,suru,きょうぼう
共通,きょうつう,suru,きょうつう
共闘,きょうとう,suru,きょうとう
共食い,ともぐい,suru,ともぐい
共鳴,きょうめい,suru,きょうめい
具体化,ぐたいか,suru,ぐたいか
具現,ぐげん,suru,ぐげん
具申,ぐしん,suru,ぐしん
具象,ぐしょう,suru,ぐしょう
兼ねる,かねる,ichidan,か
兼任,けんにん,suru,けんにん
兼営,けんえい,suru,けんえい
兼用,けんよう,suru,けんよう
内偵,ないてい,suru,ないてい
内出血,ないしゅっけつ,suru,ないしゅっけつ
内勤,ないきん,suru,ないきん
内包,ないほう,suru,ないほう
内向,ないこう,suru,ないこう
内在,ないざい,suru,ないざい
内定,ないてい,suru,ないてい
内申,ないしん,suru,ないしん
内発,ないはつ,suru,ないはつ
内省,ないせい,suru,ないせい
内示,ないじ,suru,ないじ
内職,ないしょく,suru,ないしょく
内蔵,ないぞう,suru,ないぞう
内装,ないそう,suru,ないそう
内諾,ないだく,suru,ないだく
円熟,えんじゅく,suru,えんじゅく
再スタート,さいスタート,suru,さいスタート
再任,さいにん,suru,さいにん
再会,さいかい,suru,さいかい
再出発,さいしゅっぱつ,suru,さいしゅっぱつ
再婚,さいこん,suru,さいこん
再審,さいしん,suru,さいしん
再建,さいけん,suru,さいけん
再来,さいらい,suru,さいらい
再検討,さいけんとう,suru,さいけんとう
再演,さいえん,suru,さいえん
再燃,さいねん,suru,さいねん
再版,さいはん,suru,さいはん
再生,さいせい,suru,さいせい
再生産,さいせいさん,suru,さいせいさん
再発,さいはつ,suru,さいはつ
再確認,さいかくにん,suru,さいかくにん
再編,さいへん,suru,さいへん
再考,さいこう,suru,さいこう
再興,さいこう,suru,さいこう
再訪,さいほう,suru,さいほう
再起,さいき,suru,さいき
再起動,さいきどう,suru,さいきどう
再録,さいろく,suru,さいろく
再開,さいかい,suru,さいかい
再開発,さいかいはつ,suru,さいかいはつ
冒す,おかす,godan,おか
冒険,ぼうけん,suru,ぼうけん
写す,うつす,godan,うつ
写る,うつる,godan,うつ
写実,しゃじつ,suru,しゃじつ
写生,しゃせい,suru,しゃせい
写経,しゃきょう,suru,しゃきょう
冠水,かんすい,suru,かんすい
冬眠,とうみん,suru,とうみん
冴える,さえる,ichidan,さ
冷える,ひえる,ichidan,ひ
冷ます,さます,godan,さま
冷める,さめる,ichidan,さ
冷やかす,ひやかす,godan,ひやか
冷やす,ひやす,godan,ひや
冷凍,れいとう,suru,れいとう
冷却,れいきゃく,suru,れいきゃく
冷房,れいぼう,suru,れいぼう
冷笑,れいしょう,suru,れいしょう
冷蔵,れいぞう,suru,れいぞう
冷遇,れいぐう,suru,れいぐう
凌ぐ,しのぐ,godan,しの
凍える,こごえる,ichidan,こご
凍らす,こおらす,godan,こおら
凍る,こおる,godan,こお
凍死,とうし,suru,とうし
凍結,とうけつ,suru,とうけつ
凝らす,こらす,godan,こら
凝る,こる,godan,こ
凝乎と,じっと,suru,じっと
凝固,ぎょうこ,suru,ぎょうこ
凝縮,ぎょうしゅく,suru,ぎょうしゅく
凝視,ぎょうし,suru,ぎょうし
凝集,ぎょうしゅう,suru,ぎょうしゅう
凡打,ぼんだ,suru,ぼんだ
