嗚呼,ああ
請負人,うけおいにん
請け負う,うけおう
受け答え,うけこたえ
受け皿,うけざら
受付,うけつけ
受付中,うけつけちゅう
受取り,うけと
受取人,うけとりにん
受身,うけみ
受け持ち,うけもち
受け持つ,うけもつ
受け渡し,うけわたし
右舷,うげん
雨後,うご
動き,うごき
憂さ,う
兎,うさぎ
牛,うし
丑,うし
失う,うしな
後ろ,うし
後ろ髪,うしろがみ
後ろ姿,うしろすがた
後ろ盾,うしろだて
後ろ手,うしろで
後ろ向き,うしろむき
後ろめたい,うしろめたい
後ろ指,うしろゆび
氏神,うじがみ
氏子,うじこ
臼,うす
薄明かり,うすあかり
薄い,うすい
薄板,うすいた
薄皮,うすかわ
薄着,うすぎ
薄切り,うすぎり
薄口,うすくち
薄曇り,うすぐもり
薄暗い,うすぐら
薄っぺら,うす
薄手,うすで
薄日,うすび
薄膜,うすまく
薄焼き,うすやき
渦,うず
渦巻き,うずまき
右折,うせつ
嘘,うそ
嘘つき,うそつき
歌,うた
歌合,うたあわせ
謡,うたい
歌い手,うたいて
謳う,うたう
歌う,うたう
歌会,うたかい
歌会始,うたかいはじめ
疑い,うたが
疑う,うたが
疑わしい,うたが
宴,うたげ
歌声,うたごえ
歌心,うたごころ
歌姫,うたひめ
家,うち
内,うち
打ち合い,うちあい
撃ち合い,うちあい
打ち合う,うちあう
打ち上げ,うちあげ
打ち上げ花火,うちあげはなび
打ち合わせ,うちあわせ
討ち入り,うちい
内々,うちうち
打ち掛け,うちか
打ち勝つ,うちか
内掛け,うちが
内側,うちがわ
内気,うちき
打ち切り,うちき
打ち消し,うちけ
打ち込み,うちこみ
家中,うちじゅう
打ち出し,うちだし
内弟子,うちでし
打ち止め,うちどめ
内法,うちのり
内堀,うちぼり
内幕,うちまく
内回り,うちまわり
雨中,うちゅう
宇宙,うちゅう
宇宙開発,うちゅうかいはつ
宇宙開発事業団,うちゅうかいはつじぎょうだん
右中間,うちゅうかん
宇宙空間,うちゅうくうかん
宇宙通信,うちゅうつうしん
宇宙飛行士,うちゅうひこうし
有頂天,うちょうてん
内輪,うちわ
団扇,うちわ
内訳,うちわけ
訴え,うった
鬱陶しい,うっとう
鬱,うつ
美しい,うつく
写し,うつ
打つ手,うつて
うつ病,うつびょう
移り,うつ
写り,うつ
移り変わり,うつりかわり
移り気,うつりぎ
器,うつわ
雨天,うてん
雨天順延,うてんじゅんえん
腕,うで
腕組み,うでぐみ
腕立て伏せ,うでたてふせ
腕時計,うでどけい
腕前,うでまえ
饂飩,うどん
鰻,うなぎ
海原,うなばら
汝,うぬ
自惚れ,うぬぼれ
畝,うね
畝り,うねり
右派,うは
乳母,うば
奪い合い,うばいあい
奪う,うばう
産声,うぶごえ
