嗚呼,ああ
不正,ふせい
不正確,ふせいかく
不成功,ふせいこう
不世出,ふせいしゅつ
不整脈,ふせいみゃく
不成立,ふせいりつ
布石,ふせき
敷設,ふせつ
婦選,ふせん
不戦,ふせん
不戦勝,ふせんしょう
不鮮明,ふせんめい
風情,ふぜい
府税,ふぜい
不全,ふぜん
父祖,ふそ
扶桑,ふそう
不相応,ふそうおう
付則,ふそく
不足,ふそく
付属,ふぞく
蓋,ふた
付帯,ふたい
不退転,ふたいてん
付託,ふたく
負託,ふたく
双子,ふたご
不確か,ふたしか
再び,ふたたび
二つ,ふたつ
二つ返事,ふたつへんじ
二つ目,ふたつめ
二手,ふたて
二通り,ふたとおり
二七日,ふたなぬか
双葉,ふたば
二見,ふたみ
二目,ふため
二人,ふたり
二人連れ,ふたりづれ
二人とも,ふたりとも
負担,ふたん
札,ふだ
不断,ふだん
普段,ふだん
普段着,ふだんぎ
淵,ふち
縁,ふち
府知事,ふちじ
付着,ふちゃく
不注意,ふちゅうい
婦長,ふちょう
府庁,ふちょう
不調,ふちょう
浮沈,ふちん
復活,ふっかつ
復活祭,ふっかつさい
復刊,ふっかん
復帰,ふっき
復旧,ふっきゅう
腹筋,ふっきん
復権,ふっけん
復古,ふっこ
復興,ふっこう
腹腔,ふっこう
復交,ふっこう
復刻,ふっこく
復刻版,ふっこくばん
払拭,ふっしょく
沸騰,ふっとう
普通,ふつう
不通,ふつう
普通選挙,ふつうせんきょ
普通預金,ふつうよきん
２日,ふつか
二日酔い,ふつかよい
仏語,ふつご
不都合,ふつごう
仏文,ふつぶん
不釣合い,ふつりあい
仏領,ふつりょう
不定期,ふていき
不敵,ふてき
不適,ふてき
不適切,ふてきせつ
不適当,ふてきとう
不手際,ふてぎわ
不徹底,ふてってい
筆,ふで
不出来,ふでき
不図,ふと
太い,ふとい
埠頭,ふとう
不当,ふとう
不統一,ふとういつ
不透明,ふとうめい
不徳,ふとく
不得意,ふとくい
不特定,ふとくてい
懐,ふところ
懐刀,ふところがたな
太字,ふとじ
太っ腹,ふとっぱら
太もも,ふともも
太り肉,ふとりじし
布団,ふとん
浮動,ふどう
不同,ふどう
不動,ふどう
不同意,ふどうい
浮動株,ふどうかぶ
不動産,ふどうさん
不動産屋,ふどうさんや
浮動票,ふどうひょう
風土記,ふどき
不仲,ふなか
船会社,ふながいしゃ
船旅,ふなたび
船着き場,ふなつきば
船積み,ふなづみ
船出,ふなで
船乗り,ふなのり
船橋,ふなばし
舟橋,ふなばし
船便,ふなびん
船酔い,ふなよい
不慣れ,ふなれ
不似合い,ふにあい
不妊,ふにん
赴任,ふにん
不人気,ふにんき
不妊症,ふにんしょう
船,ふね
不熱心,ふねっしん
不燃,ふねん
不燃物,ふねんぶつ
不能,ふのう
不敗,ふはい
腐敗,ふはい
不発,ふはつ
不買,ふばい
不払い,ふばらい
不必要,ふひつよう
不評,ふひょう
浮標,ふひょう
不備,ふび
不平等,ふびょうどう
不服,ふふく
吹雪,ふぶき
不文律,ふぶんりつ
不平,ふへい
不変,ふへん
普遍,ふへん
普遍的,ふへんてき
不偏不党,ふへんふとう
不便,ふべん
訃報,ふほう
不法,ふほう
不本意,ふほんい
父母,ふぼ
不満,ふまん
不満足,ふまんぞく
文,ふみ
踏み絵,ふみえ
踏切,ふみきり
踏み込み,ふみこみ
踏み台,ふみだい
不眠,ふみん
不眠症,ふみんしょう
不眠不休,ふみんふきゅう
不向き,ふむき
不明,ふめい
不名誉,ふめいよ
不滅,ふめつ
譜面,ふめん
不毛,ふもう
不毛の地,ふもうのち
麓,ふもと
不問,ふもん
増やし,ふやし
冬,ふゆ
浮遊,ふゆう
富裕,ふゆう
不愉快,ふゆかい
不行き届き,ふゆきとどき
冬鳥,ふゆどり
冬場,ふゆば
冬物,ふゆもの
冬休み,ふゆやすみ
冬山,ふゆやま
付与,ふよ
芙蓉,ふよう
不要,ふよう
浮揚,ふよう
扶養,ふよう
不用意,ふようい
腐葉土,ふようど
腐乱,ふらん
降り,ふり
振り,ふり
不利,ふり
不利益,ふりえき
振替,ふりかえ
振り仮名,ふりがな
振り子,ふりこ
不履行,ふりこう
振込,ふりこみ
降り注ぐ,ふりそそぐ
振り出し,ふりだし
府立,ふりつ
振り付け,ふりつけ
振り向く,ふりむく
不慮,ふりょ
不漁,ふりょう
不良,ふりょう
不良品,ふりょうひん
浮力,ふりょく
振り分け,ふりわけ
不倫,ふりん
旧跡,ふるあと
古い,ふるい
奮い立つ,ふるいたつ
奮う,ふるう
古傷,ふるきず
古着,ふるぎ
古臭い,ふるくさい
故郷,ふるさと
古巣,ふるす
奮って,ふる
古手,ふるて
古本,ふるほん
古本屋,ふるほんや
振る舞い,ふるまい
振る舞う,ふるまう
古めかしい,ふるめかしい
触れ合い,ふれあい
触れ合う,ふれあう
触れ込み,ふれこみ
風呂,ふろ
不老,ふろう
浮浪者,ふろうしゃ
付録,ふろく
風呂敷,ふろしき
風呂場,ふろば
風呂屋,ふろや
不和,ふわ
不惑,ふわく
不渡り,ふわたり
不渡り手形,ふわたりてがた
糞,ふん
分,ふん
雰囲気,ふんいき
噴煙,ふんえん
噴火,ふんか
分間,ふんかん
憤慨,ふんがい
奮起,ふんき
墳丘,ふんきゅう
紛糾,ふんきゅう
憤激,ふんげき
粉砕,ふんさい
憤死,ふんし
紛失,ふんしつ
噴射,ふんしゃ
噴出,ふんしゅつ
粉飾,ふんしょく
噴水,ふんすい
奮戦,ふんせん
紛争,ふんそう
奮闘,ふんとう
奮発,ふんぱつ
分別,ふんべつ
墳墓,ふんぼ
粉末,ふんまつ
部,ぶ
歩合,ぶあい
無愛想,ぶあいそう
分厚い,ぶあつい
部位,ぶい
部員,ぶいん
部下,ぶか
部会,ぶかい
部活,ぶかつ
武官,ぶかん
部外,ぶがい
舞楽,ぶがく
武器,ぶき
不気味,ぶきみ
部局,ぶきょく
舞曲,ぶきょく
不器用,ぶきよう
奉行,ぶぎょう
武家,ぶけ
武功,ぶこう
無骨,ぶこつ
無作法,ぶさほう
武士,ぶし
武士道,ぶしどう
部首,ぶしゅ
部署,ぶしょ
無精,ぶしょう
武将,ぶしょう
無事,ぶじ
武術,ぶじゅつ
侮辱,ぶじょく
武人,ぶじん
無粋,ぶすい
部数,ぶすう
無勢,ぶぜい
武装,ぶそう
部族,ぶぞく
豚,ぶた
部隊,ぶたい
舞台,ぶたい
舞台裏,ぶたいうら
舞台監督,ぶたいかんとく
舞台劇,ぶたいげき
舞台装置,ぶたいそうち
豚肉,ぶたにく
部長,ぶちょう
物価,ぶっか
仏閣,ぶっかく
物価指数,ぶっかしすう
仏教,ぶっきょう
ぶっきら棒,ぶっきらぼう
物件,ぶっけん
物故,ぶっこ
物産,ぶっさん
仏師,ぶっし
物資,ぶっし
物質,ぶっしつ
物質的,ぶっしつてき
物証,ぶっしょう
物色,ぶっしょく
物性,ぶっせい
物騒,ぶっそう
物体,ぶったい
仏頂面,ぶっちょうづら
物的,ぶってき
仏典,ぶってん
仏塔,ぶっとう
物販,ぶっぱん
物品,ぶっぴん
仏法,ぶっぽう
打つ,ぶつ
仏画,ぶつが
仏学,ぶつがく
物議,ぶつぎ
仏具,ぶつぐ
仏前,ぶつぜん
仏像,ぶつぞう
仏壇,ぶつだん
仏殿,ぶつでん
物納,ぶつのう
仏間,ぶつま
仏門,ぶつもん
物欲,ぶつよく
物理,ぶつり
物理学,ぶつりがく
物理的,ぶつりてき
物流,ぶつりゅう
物量,ぶつりょう
舞踏,ぶとう
葡萄,ぶどう
武道,ぶどう
歩留まり,ぶどまり
部内,ぶない
無難,ぶなん
部品,ぶひん
部分,ぶぶん
部分的,ぶぶんてき
侮蔑,ぶべつ
部門,ぶもん
武勇,ぶゆう
舞踊,ぶよう
無頼,ぶらい
部落,ぶらく
鞦韆,ぶらんこ
振り,ぶり
武力,ぶりょく
部類,ぶるい
無礼,ぶれい
分,ぶん
文,ぶん
文案,ぶんあん
分院,ぶんいん
文化,ぶんか
分化,ぶんか
文科,ぶんか
分科,ぶんか
分会,ぶんかい
分解,ぶんかい
文化遺産,ぶんかいさん
文化映画,ぶんかえいが
分科会,ぶんかかい
文化勲章,ぶんかくんしょう
文化財,ぶんかざい
文化人,ぶんかじん
文化庁,ぶんかちょう
分割,ぶんかつ
分割払い,ぶんかつばらい
文化的,ぶんかてき
文官,ぶんかん
文学,ぶんがく
文学者,ぶんがくしゃ
文学的,ぶんがくてき
分岐,ぶんき
分岐点,ぶんきてん
文教,ぶんきょう
分業,ぶんぎょう
文具,ぶんぐ
分家,ぶんけ
文系,ぶんけい
分権,ぶんけん
文献,ぶんけん
文芸,ぶんげい
文庫,ぶんこ
分校,ぶんこう
文語,ぶんご
文豪,ぶんごう
分冊,ぶんさつ
分散,ぶんさん
文士,ぶんし
分子,ぶんし
分室,ぶんしつ
文集,ぶんしゅう
文書,ぶんしょ
文章,ぶんしょう
文相,ぶんしょう
分身,ぶんしん
分乗,ぶんじょう
分譲,ぶんじょう
文人,ぶんじん
分水嶺,ぶんすいれい
分数,ぶんすう
分析,ぶんせき
文体,ぶんたい
分担,ぶんたん
文壇,ぶんだん
文治,ぶんち
文中,ぶんちゅう
文通,ぶんつう
文典,ぶんてん
分捕り品,ぶんどりひん
文博,ぶんはく
分売,ぶんばい
分派,ぶんぱ
分配,ぶんぱい
分泌,ぶんぴつ
文筆,ぶんぴつ
文武,ぶんぶ
文物,ぶんぶつ
分布,ぶんぷ
分別,ぶんべつ
分娩,ぶんべん
分母,ぶんぼ
文房具,ぶんぼうぐ
文法,ぶんぽう
文脈,ぶんみゃく
文民,ぶんみん
文明,ぶんめい
文明開化,ぶんめいかいか
文面,ぶんめん
分野,ぶんや
分与,ぶんよ
文楽,ぶんらく
分離,ぶんり
文理,ぶんり
分立,ぶんりつ
分流,ぶんりゅう
分量,ぶんりょう
分類,ぶんるい
文例,ぶんれい
分裂,ぶんれつ
プー太郎,ぷうたろう
兵,へい
丙,へい
塀,へい
平安,へいあん
平易,へいい
兵員,へいいん
兵営,へいえい
兵役,へいえき
平穏,へいおん
平価,へいか
陛下,へいか
閉会,へいかい
閉館,へいかん
弊害,へいがい
兵学,へいがく
兵器,へいき
併記,へいき
平気,へいき
平均,へいきん
平均点,へいきんてん
閉経,へいけい
平家物語,へいけものがたり
平原,へいげん
閉校,へいこう
並行,へいこう
閉口,へいこう
平行,へいこう
平衡,へいこう
平行線,へいこうせん
平行棒,へいこうぼう
併合,へいごう
閉鎖,へいさ
併殺,へいさつ
閉山,へいざん
兵士,へいし
弊社,へいしゃ
兵舎,へいしゃ
平時,へいじ
平日,へいじつ
平準,へいじゅん
平常,へいじょう
平成,へいせい
平静,へいせい
併設,へいせつ
平生,へいぜい
平然,へいぜん
平素,へいそ
閉塞,へいそく
併存,へいぞん
兵隊,へいたい
兵団,へいだん
平地,へいち
平定,へいてい
閉廷,へいてい
閉店,へいてん
平年,へいねん
平年並み,へいねんなみ
併発,へいはつ
平板,へいばん
平服,へいふく
平方,へいほう
兵法,へいほう
平凡,へいぼん
閉幕,へいまく
平民,へいみん
平明,へいめい
平面,へいめん
平面図,へいめんず
平野,へいや
併用,へいよう
並立,へいりつ
兵力,へいりょく
並列,へいれつ
平和,へいわ
平和部隊,へいわぶたい
壁画,へきが
壁面,へきめん
臍,へそ
下手,へた
下手くそ,へたくそ
隔たり,へだたり
隔て,へだて
蛇,へび
部屋,へや
減り,へり
辺,へん
変,へん
編,へん
変異,へんい
変移,へんい
変化,へんか
変化球,へんかきゅう
変革,へんかく
返還,へんかん
変換,へんかん
返却,へんきゃく
辺境,へんきょう
偏狭,へんきょう
編曲,へんきょく
返金,へんきん
変形,へんけい
偏見,へんけん
変幻,へんげん
変更,へんこう
偏向,へんこう
変更届,へんこうとどけ
返済,へんさい
偏差値,へんさち
編纂,へんさん
変死,へんし
変質,へんしつ
編者,へんしゃ
編集,へんしゅう
編集者,へんしゅうしゃ
返書,へんしょ
偏食,へんしょく
変色,へんしょく
返信,へんしん
変身,へんしん
変心,へんしん
返事,へんじ
返上,へんじょう
変人,へんじん
変数,へんすう
編成,へんせい
変性,へんせい
偏西風,へんせいふう
変節,へんせつ
変遷,へんせん
返送,へんそう
変装,へんそう
変奏曲,へんそうきょく
変速,へんそく
変則,へんそく
変造,へんぞう
変態,へんたい
編隊,へんたい
辺地,へんち
編著,へんちょ
偏重,へんちょう
変調,へんちょう
変哲,へんてつ
変転,へんてん
変電所,へんでんしょ
返答,へんとう
変動,へんどう
編入,へんにゅう
返納,へんのう
返品,へんぴん
変貌,へんぼう
変容,へんよう
返礼,へんれい
遍歴,へんれき
米価,べいか
米軍,べいぐん
米国,べいこく
米穀,べいこく
米作,べいさく
米産,べいさん
米食,べいしょく
米審,べいしん
米寿,べいじゅ
米人,べいじん
米飯,べいはん
可き,べき
別格,べっかく
別館,べっかん
別巻,べっかん
別居,べっきょ
別個,べっこ
別項,べっこう
別冊,べっさつ
蔑視,べっし
別紙,べっし
別室,べっしつ
別種,べっしゅ
別世界,べっせかい
別荘,べっそう
別邸,べってい
別天地,べってんち
別途,べっと
別当,べっとう
別表,べっぴょう
別,べつ
別院,べついん
別状,べつじょう
別人,べつじん
別刷り,べつずり
別段,べつだん
別働隊,べつどうたい
別に,べつに
別々,べつべつ
別棟,べつむね
別名,べつめい
別物,べつもの
別問題,べつもんだい
別離,べつり
紅花,べにばな
弁,べん
弁解,べんかい
勉学,べんがく
便器,べんき
勉強,べんきょう
勉強中,べんきょうちゅう
便宜,べんぎ
弁慶,べんけい
弁護,べんご
弁護士,べんごし
弁護人,べんごにん
弁済,べんさい
弁士,べんし
弁償,べんしょう
便所,べんじょ
弁舌,べんぜつ
弁天,べんてん
弁当,べんとう
便秘,べんぴ
便法,べんぽう
弁務官,べんむかん
弁明,べんめい
便利,べんり
便利さ,べんりさ
弁理士,べんりし
弁論,べんろん
穂,ほ
帆,ほ
舗,ほ
歩,ほ
保安,ほあん
保育,ほいく
保育園,ほいくえん
保育所,ほいくしょ
捕逸,ほいつ
報,ほう
砲,ほう
方,ほう
法,ほう
法案,ほうあん
包囲,ほうい
方位,ほうい
法医学,ほういがく
法会,ほうえ
放映,ほうえい
法王,ほうおう
訪欧,ほうおう
鳳凰,ほうおう
砲火,ほうか
放火,ほうか
崩壊,ほうかい
放課後,ほうかご
包括,ほうかつ
宝冠,ほうかん
萌芽,ほうが
邦画,ほうが
法外,ほうがい
方がいい,ほうがいい
方角,ほうがく
法学,ほうがく
邦楽,ほうがく
法学部,ほうがくぶ
包含,ほうがん
砲丸投げ,ほうがんなげ
蜂起,ほうき
法規,ほうき
箒,ほうき
放棄,ほうき
俸給,ほうきゅう
豊胸,ほうきょう
方形,ほうけい
封建,ほうけん
封建主義,ほうけんしゅぎ
封建的,ほうけんてき
砲撃,ほうげき
放言,ほうげん
方言,ほうげん
宝庫,ほうこ
方向,ほうこう
芳香,ほうこう
奉公,ほうこう
方向音痴,ほうこうおんち
報国,ほうこく
報告,ほうこく
報告書,ほうこくしょ
方策,ほうさく
豊作,ほうさく
法師,ほうし
胞子,ほうし
奉仕,ほうし
方式,ほうしき
放射,ほうしゃ
放射性,ほうしゃせい
放射線,ほうしゃせん
放射能,ほうしゃのう
報酬,ほうしゅう
放出,ほうしゅつ
褒賞,ほうしょう
法相,ほうしょう
褒章,ほうしょう
報奨金,ほうしょうきん
飽食,ほうしょく
宝飾,ほうしょく
方針,ほうしん
放心,ほうしん
砲身,ほうしん
法事,ほうじ
邦字,ほうじ
方丈,ほうじょう
豊饒,ほうじょう
法人,ほうじん
邦人,ほうじん
放水,ほうすい
縫製,ほうせい
法制,ほうせい
砲声,ほうせい
法制局,ほうせいきょく
宝石,ほうせき
包摂,ほうせつ
包装,ほうそう
法曹,ほうそう
放送,ほうそう
法曹界,ほうそうかい
放送劇,ほうそうげき
法則,ほうそく
包帯,ほうたい
邦題,ほうだい
砲台,ほうだい
放題,ほうだい
砲弾,ほうだん
報知,ほうち
放置,ほうち
法治,ほうち
放逐,ほうちく
法治国,ほうちこく
訪中,ほうちゅう
包丁,ほうちょう
法廷,ほうてい
法定,ほうてい
方程式,ほうていしき
法的,ほうてき
放電,ほうでん
放蕩,ほうとう
宝刀,ほうとう
報徳,ほうとく
報道,ほうどう
報道機関,ほうどうきかん
報道陣,ほうどうじん
訪日,ほうにち
放任,ほうにん
放熱,ほうねつ
豊年,ほうねん
奉納,ほうのう
褒美,ほうび
豊富,ほうふ
抱負,ほうふ
報復,ほうふく
彷彿,ほうふつ
法文,ほうぶん
砲兵,ほうへい
訪米,ほうべい
方便,ほうべん
方法,ほうほう
方法論,ほうほうろん
方々,ほうぼう
放牧,ほうぼく
豊満,ほうまん
放漫,ほうまん
法務,ほうむ
法務委員会,ほうむいいんかい
法務省,ほうむしょう
方面,ほうめん
放免,ほうめん
訪問,ほうもん
訪問者,ほうもんしゃ
邦訳,ほうやく
朋友,ほうゆう
法要,ほうよう
抱擁,ほうよう
包容力,ほうようりょく
崩落,ほうらく
法理,ほうり
法律,ほうりつ
法律事務所,ほうりつじむしょ
放流,ほうりゅう
豊漁,ほうりょう
法令,ほうれい
放列,ほうれつ
ほうれん草,ほうれんそう
放浪,ほうろう
法話,ほうわ
飽和,ほうわ
頬,ほお
保温,ほおん
他,ほか
捕獲,ほかく
保革,ほかく
他に,ほかに
他にも,ほかにも
保管,ほかん
補完,ほかん
朗らか,ほがらか
補給,ほきゅう
捕球,ほきゅう
補強,ほきょう
北緯,ほくい
北欧,ほくおう
北限,ほくげん
北上,ほくじょう
北西,ほくせい
北端,ほくたん
北東,ほくとう
北部,ほくぶ
北北西,ほくほくせい
北北東,ほくほくとう
北洋,ほくよう
北陸,ほくりく
黒子,ほくろ
法華経,ほけきょう
補欠,ほけつ
保険,ほけん
保健,ほけん
保険金,ほけんきん
保健所,ほけんじょ
保健婦,ほけんふ
捕鯨,ほげい
矛,ほこ
歩行,ほこう
歩行者,ほこうしゃ
歩行者天国,ほこうしゃてんごく
矛先,ほこさき
誇らしい,ほこらしい
埃,ほこり
誇り,ほこり
保護,ほご
保護者,ほごしゃ
保護鳥,ほごちょう
保護貿易,ほごぼうえき
補佐,ほさ
星,ほし
欲しい,ほしい
星占い,ほしうらない
星空,ほしぞら
保釈,ほしゃく
捕手,ほしゅ
保守,ほしゅ
補修,ほしゅう
補習,ほしゅう
保守的,ほしゅてき
保守党,ほしゅとう
保証,ほしょう
補償,ほしょう
保証金,ほしょうきん
保証付き,ほしょうつき
保証人,ほしょうにん
保身,ほしん
保持,ほじ
補充,ほじゅう
補助,ほじょ
歩数,ほすう
補正,ほせい
補正予算,ほせいよさん
保線,ほせん
保全,ほぜん
細い,ほそい
舗装,ほそう
細腕,ほそうで
細面,ほそおもて
補足,ほそく
細長い,ほそながい
細々,ほそぼそ
細身,ほそみ
細道,ほそみち
保存,ほぞん
蛍,ほたる
歩調,ほちょう
補聴器,ほちょうき
北海,ほっかい
北海道,ほっかいどう
北海道開発庁長官,ほっかいどうかいはつちょうちょうかん
発起人,ほっきにん
北極,ほっきょく
北極海,ほっきょくかい
北極圏,ほっきょくけん
発句,ほっく
北郊,ほっこう
発作,ほっさ
法主,ほっす
発足,ほっそく
発端,ほったん
頬っぺた,ほっぺた
北方,ほっぽう
補填,ほてん
仏,ほとけ
殆ど,ほとんど
程,ほど
歩道,ほどう
補導,ほどう
歩道橋,ほどうきょう
施し,ほどこし
程遠い,ほどとおい
程なく,ほどなく
哺乳,ほにゅう
哺乳類,ほにゅうるい
骨,ほね
骨組み,ほねぐみ
骨抜き,ほねぬき
骨太,ほねぶと
骨身,ほねみ
炎,ほのお
仄か,ほのか
歩幅,ほはば
歩兵,ほへい
略,ほぼ
保母,ほぼ
誉れ,ほまれ
保有,ほゆう
保養,ほよう
保養所,ほようじょ
洞,ほら
洞穴,ほらあな
堀,ほり
堀江,ほりえ
堀川,ほりかわ
掘り出し物,ほりだしもの
堀端,ほりばた
保留,ほりゅう
捕虜,ほりょ
保冷,ほれい
本,ほん
翻案,ほんあん
翻意,ほんい
本意,ほんい
本位,ほんい
本院,ほんいん
本因坊,ほんいんぼう
本科,ほんか
本会議,ほんかいぎ
本格,ほんかく
本格化,ほんかくか
本格的,ほんかくてき
本館,ほんかん
本願,ほんがん
本気,ほんき
本給,ほんきゅう
本拠,ほんきょ
本局,ほんきょく
本義,ほんぎ
本決まり,ほんぎまり
本業,ほんぎょう
本家,ほんけ
本件,ほんけん
本建築,ほんけんちく
本校,ほんこう
本国,ほんごく
本腰,ほんごし
本山,ほんざん
本誌,ほんし
本旨,ほんし
本紙,ほんし
本質,ほんしつ
本質的,ほんしつてき
本社,ほんしゃ
本書,ほんしょ
本性,ほんしょう
本省,ほんしょう
本職,ほんしょく
本心,ほんしん
本日,ほんじつ
本陣,ほんじん
本数,ほんすう
本筋,ほんすじ
本籍,ほんせき
本線,ほんせん
本船,ほんせん
本訴,ほんそ
奔走,ほんそう
本葬,ほんそう
本則,ほんそく
本草,ほんぞう
本尊,ほんぞん
本隊,ほんたい
本体,ほんたい
本立て,ほんたて
本題,ほんだい
本棚,ほんだな
本朝,ほんちょう
本庁,ほんちょう
本調子,ほんちょうし
本店,ほんてん
本殿,ほんでん
本島,ほんとう
本当,ほんとう
本当に,ほんとうに
本土,ほんど
本道,ほんどう
本堂,ほんどう
本人,ほんにん
本音,ほんね
本年,ほんねん
本の,ほんの
本能,ほんのう
ほんの少し,ほんのすこし
本場,ほんば
本箱,ほんばこ
本場所,ほんばしょ
本番,ほんばん
本部,ほんぶ
本舞台,ほんぶたい
本文,ほんぶん
本分,ほんぶん
本舗,ほんぽ
奔放,ほんぽう
本邦,ほんぽう
本末転倒,ほんまつてんとう
本丸,ほんまる
本名,ほんみょう
本命,ほんめい
本望,ほんもう
本元,ほんもと
本物,ほんもの
本屋,ほんや
翻訳,ほんやく
本予算,ほんよさん
本読み,ほんよみ
本来,ほんらい
本欄,ほんらん
本流,ほんりゅう
奔流,ほんりゅう
本領,ほんりょう
本塁,ほんるい
本塁打,ほんるいだ
翻弄,ほんろう
母音,ぼいん
棒,ぼう
某,ぼう
暴飲,ぼういん
防衛,ぼうえい
防衛施設庁,ぼうえいしせつちょう
防衛庁,ぼうえいちょう
貿易,ぼうえき
防疫,ぼうえき
望遠,ぼうえん
望遠鏡,ぼうえんきょう
防音,ぼうおん
防火,ぼうか
暴漢,ぼうかん
防寒,ぼうかん
傍観,ぼうかん
望外,ぼうがい
妨害,ぼうがい
忘却,ぼうきゃく
暴挙,ぼうきょ
望郷,ぼうきょう
謀議,ぼうぎ
暴虐,ぼうぎゃく
防御,ぼうぎょ
防空,ぼうくう
防空壕,ぼうくうごう
暴君,ぼうくん
冒険,ぼうけん
暴言,ぼうげん
暴行,ぼうこう
亡国,ぼうこく
防護,ぼうご
防災,ぼうさい
忙殺,ぼうさつ
坊さん,ぼうさん
防止,ぼうし
帽子,ぼうし
防臭,ぼうしゅう
暴食,ぼうしょく
紡織,ぼうしょく
傍若無人,ぼうじゃくぶじん
傍受,ぼうじゅ
防除,ぼうじょ
棒状,ぼうじょう
防水,ぼうすい
坊主,ぼうず
紡績,ぼうせき
防戦,ぼうせん
暴走,ぼうそう
棒高跳び,ぼうたかとび
膨大,ぼうだい
棒立ち,ぼうだち
防弾,ぼうだん
防虫,ぼうちゅう
防虫剤,ぼうちゅうざい
傍聴,ぼうちょう
膨張,ぼうちょう
暴徒,ぼうと
冒頭,ぼうとう
暴騰,ぼうとう
暴動,ぼうどう
防毒,ぼうどく
忘年会,ぼうねんかい
暴発,ぼうはつ
防波堤,ぼうはてい
防犯,ぼうはん
防犯カメラ,ぼうはんカメラ
棒引き,ぼうびき
防腐,ぼうふ
亡夫,ぼうふ
亡父,ぼうふ
暴風,ぼうふう
暴風雨,ぼうふうう
亡命,ぼうめい
坊や,ぼうや
棒読み,ぼうよみ
暴落,ぼうらく
暴利,ぼうり
謀略,ぼうりゃく
暴力,ぼうりょく
暴力団,ぼうりょくだん
亡霊,ぼうれい
暴論,ぼうろん
母艦,ぼかん
簿外,ぼがい
簿記,ぼき
募金,ぼきん
僕,ぼく
牧師,ぼくし
牧舎,ぼくしゃ
墨書,ぼくしょ
牧場,ぼくじょう
牧草,ぼくそう
僕たち,ぼくたち
牧畜,ぼくちく
木刀,ぼくとう
撲滅,ぼくめつ
牧野,ぼくや
僕ら,ぼくら
惚け,ぼけ
墓穴,ぼけつ
母校,ぼこう
母港,ぼこう
母国,ぼこく
母国語,ぼこくご
募債,ぼさい
菩薩,ぼさつ
母子,ぼし
募集,ぼしゅう
墓所,ぼしょ
母性,ぼせい
母性愛,ぼせいあい
墓石,ぼせき
母船,ぼせん
墓前,ぼぜん
母胎,ぼたい
母体,ぼたい
牡丹,ぼたん
菩提,ぼだい
菩提寺,ぼだいじ
菩提樹,ぼだいじゅ
墓地,ぼち
牧歌的,ぼっかてき
勃起,ぼっき
没収,ぼっしゅう
坊ちゃん,ぼっちゃん
没頭,ぼっとう
勃発,ぼっぱつ
没,ぼつ
没後,ぼつご
没年,ぼつねん
没落,ぼつらく
母乳,ぼにゅう
墓碑,ぼひ
墓標,ぼひょう
小火,ぼや
凡,ぼん
盆,ぼん
盆踊り,ぼんおどり
盆栽,ぼんさい
凡人,ぼんじん
凡退,ぼんたい
凡打,ぼんだ
盆地,ぼんち
煩悩,ぼんのう
凡庸,ぼんよう
間,ま
魔,ま
間合い,まあい
真新しい,まあたらしい
枚,まい
毎,まい
舞,まい
毎朝,まいあさ
毎回,まいかい
枚挙,まいきょ
舞子,まいこ
迷子,まいご
毎週,まいしゅう
毎時,まいじ
枚数,まいすう
埋設,まいせつ
埋葬,まいそう
埋蔵,まいぞう
真一文字,まいちもんじ
参った,まいった
毎月,まいつき
毎年,まいとし
毎度,まいど
毎日,まいにち
毎晩,まいばん
舞姫,まいひめ
毎秒,まいびょう
毎分,まいふん
埋没,まいぼつ
舞う,まう
真上,まうえ
前,まえ
前足,まえあし
前売り,まえうり
前売り券,まえうりけん
前置き,まえおき
前書き,まえがき
前頭,まえがしら
前髪,まえがみ
前借り,まえがり
前倒し,まえだおし
前歯,まえば
前払い,まえばらい
前触れ,まえぶれ
前々,まえまえ
前向き,まえむき
前もって,まえ
賄い,まかない
賄う,まかなう
真顔,まがお
勾玉,まがたま
間借り,まがり
曲がり,まがり
曲がり角,まがりかど
薪,まき
巻,まき
まき網,まきあみ
蒔絵,まきえ
巻き返し,まきかえし
巻き貝,まきがい
巻紙,まきがみ
巻尺,まきじゃく
巻き添え,まきぞえ
巻き物,まきもの
紛らわしい,まぎらわしい
紛れもない,まぎれもない
間際,まぎわ
膜,まく
幕,まく
幕間,まくあい
幕開け,まくあけ
幕内,まくうち
幕切れ,まくぎれ
幕下,まくした
幕の内,まくのうち
枕,まくら
枕絵,まくらえ
枕詞,まくらことば
間口,まぐち
紛れ,まぐれ
鮪,まぐろ
負け,まけ
負け犬,まけいぬ
負け惜しみ,まけおしみ
負け越し,まけこし
負けん気,まけんき
曲げ,まげ
誠,まこと
誠に,まことに
孫,まご
孫子,まごこ
真心,まごころ
孫娘,まごむすめ
真逆,まさか
正木,まさき
真砂,まさご
摩擦,まさつ
正に,まさに
増し,まし
真四角,ましかく
真下,ました
況して,まして
真正面,ましょうめん
間仕切り,まじきり
真面目,まじめ
魔術,まじゅつ
魔女,まじょ
魔女狩り,まじょがり
交じり,まじり
交わり,まじわり
升,ます
鱒,ます
麻酔,ますい
益々,ますます
先ず,まず
不味い,まずい
貧しい,まずしい
混ぜ物,まぜもの
又,また
股,また
又は,または
未だ,まだ
未だしも,まだしも
未だ未だ,まだまだ
町,まち
待ち,まち
待合,まちあい
待合室,まちあいしつ
待ち合わせ,まちあわせ
